,mean,mean_with_1_as_min,efficientnet-b0_from_efficientnet-b2,efficientnet-b0_from_semnasnet_100,efficientnet-b0_from_regnety_004,efficientnet-b0_from_tf_mobilenetv3_large_minimal_100,efficientnet-b1_from_mixnet_s,efficientnet-b2_from_efficientnet-b0,efficientnet-b2_from_efficientnet-b1,resnet_14_from_resnet_20,resnet_14_from_resnet_wide_14,resnet_wide_20_from_resnet_20,resnet_wide_20_from_resnet_wide_14,mnasnet_100_from_efficientnet-b1,mnasnet_100_from_mixnet_s,regnety_004_from_regnetx_004
ClipTransfer-DPMatching-BlocksStandardization,6.492342586808548,6.525824729665692,11.833333333333334,11.25,0.53125,7.791666666666667,1.1155778894472363,11.560975609756099,11.707317073170731,4.791443850267379,3.1016042780748663,10.044843049327355,10.331838565022421,3.076923076923077,1.9881656804733727,1.7678571428571428
ClipTransfer-DPFlatMatching-FlattenStandardization,3.918580047688496,4.094932541348682,2.34375,9.5,0.0,2.3333333333333335,1.1381909547738693,0.0,11.560975609756099,4.791443850267379,3.037433155080214,9.90134529147982,6.923766816143497,0.7810650887573964,1.7988165680473374,0.75
ClipTransfer-DPMatching-GraphStandardization,4.597463718421146,4.63971499393135,4.0,6.333333333333333,1.8125,2.2708333333333335,1.5376884422110555,8.048780487804878,11.560975609756099,3.935828877005348,2.1390374331550803,9.040358744394618,9.004484304932735,2.272189349112426,2.0,0.40848214285714285
ClipTransfer-BipartiteMatching-GraphStandardization,4.46925055576577,4.654358974133117,9.291666666666666,0.0,2.1875,0.0,1.3718592964824121,9.951219512195122,11.853658536585366,4.2994652406417115,2.3957219251336896,7.390134529147982,9.112107623318385,2.272189349112426,2.035502958579882,0.40848214285714285
ClipTransfer-NBipartiteMatching-GraphStandardization,3.8830237855454732,3.972548657994453,2.5833333333333335,3.0416666666666665,0.0,1.8541666666666667,1.5527638190954776,3.0,11.707317073170731,3.251336898395722,3.0802139037433154,8.860986547085203,10.044843049327355,2.035502958579882,2.603550295857988,0.7466517857142857
ClipTransfer-BipartiteMatching-BlocksStandardization,6.247195602254093,6.390052745111236,11.916666666666666,11.333333333333334,0.0,7.333333333333333,1.3718592964824121,11.560975609756099,11.707317073170731,4.55614973262032,3.037433155080214,9.973094170403588,9.90134529147982,2.3195266272189348,2.4497041420118344,0.0
ClipTransfer-NBipartiteMatching-BlocksStandardization,4.106201090961422,4.106201090961422,2.5729166666666665,3.4166666666666665,1.375,2.1666666666666665,1.8316582914572865,2.524390243902439,11.853658536585366,4.53475935828877,3.0802139037433154,9.90134529147982,9.973094170403588,1.0236686390532543,1.893491124260355,1.3392857142857142
FullTransfer-DPMatching-BlocksStandardization,5.337834151684325,5.42823593739861,11.833333333333334,8.333333333333334,0.7864583333333334,0.9479166666666666,1.3718592964824121,10.829268292682928,11.414634146341465,4.748663101604278,3.037433155080214,5.596412556053812,10.475336322869955,3.905325443786982,1.4497041420118344,0.0
FullTransfer-BipartiteMatching-BlocksStandardization,5.549750268090207,5.6211788395187785,12.166666666666666,8.416666666666666,0.0,2.5625,2.14070351758794,11.121951219512196,11.414634146341465,4.491978609625669,3.0802139037433154,5.99103139013453,9.90134529147982,2.0473372781065087,2.272189349112426,2.089285714285714
TraceTransfer-DPMatching-BlocksStandardization,4.916437636869037,4.9901580341188465,2.25,9.958333333333334,1.0520833333333333,0.0,1.620603015075377,11.487804878048781,11.78048780487805,4.7272727272727275,0.9679144385026738,10.044843049327355,10.475336322869955,1.1715976331360947,1.6331360946745561,1.6607142857142856
TraceTransfer-BipartiteMatching-BlocksStandardization,5.140561399068347,5.14132534100876,2.1458333333333335,10.416666666666666,1.3541666666666667,1.078125,1.7336683417085428,11.414634146341465,11.707317073170731,4.5133689839572195,0.9893048128342246,10.188340807174887,9.757847533632287,1.6094674556213018,2.5680473372781063,2.4910714285714284
MagnitudeTransfer-DPMatching-BlocksStandardization,5.023739045002726,5.109300542328929,2.8333333333333335,9.75,0.0,2.65625,1.613065326633166,11.487804878048781,11.78048780487805,4.791443850267379,0.8021390374331551,10.044843049327355,10.403587443946188,1.331360946745562,1.5857988165680474,1.2522321428571428
MagnitudeTransfer-BipartiteMatching-BlocksStandardization,5.314030921247659,5.3289277890857045,2.6666666666666665,9.875,1.46875,4.666666666666667,2.0804020100502516,11.26829268292683,11.634146341463415,4.470588235294118,0.7914438502673797,10.188340807174887,9.68609865470852,1.1952662721893492,2.2485207100591715,2.15625
ClipTransfer-GraphNewMatching,4.956311042728039,5.104194970503009,11.833333333333334,7.583333333333333,0.0,0.78125,0.4974874371859297,11.26829268292683,11.78048780487805,2.556149732620321,1.1176470588235294,9.973094170403588,7.426008968609866,2.8757396449704142,0.650887573964497,1.044642857142857
ClipTransfer-RandomMatching-FlattenStandardization,0.9273623246516635,1.2668890854545236,1.7083333333333333,2.0,0.0,1.3020833333333333,1.4472361809045227,1.1890243902439024,0.0,1.1016042780748663,0.2606951871657754,0.8161434977578476,0.8251121076233184,0.34467455621301774,1.9881656804733727,0.0
ClipTransfer-DPMatching-BlocksStandardization-AutoEncoderScore,6.242502348483166,6.281378836578405,11.833333333333334,11.25,0.4557291666666667,7.791666666666667,1.07035175879397,11.707317073170731,11.707317073170731,1.518716577540107,3.0802139037433154,10.116591928251122,3.336322869955157,9.65680473372781,1.727810650887574,2.142857142857143
ClipTransfer-BipartiteMatching-BlocksStandardization-AutoEncoderScore,5.933403404286083,6.076260547143226,11.916666666666666,11.5,0.0,0.0,1.4547738693467338,11.560975609756099,11.78048780487805,2.1818181818181817,3.1016042780748663,9.90134529147982,6.062780269058296,9.65680473372781,1.834319526627219,2.1160714285714284
